Тестовые данные для функции решения квадратного уравнения ax^2 + bx + c = 0
Формат: a, b, c | ожидаемый результат | описание теста

1, -3, 2 | (1.0, 2.0) | Два действительных корня
1, -4, 4 | 2.0 | Один действительный корень (дискриминант = 0)
1, 2, 5 | None | Нет действительных корней (дискриминант < 0)
0, 2, -4 | 2.0 | Линейное уравнение (a = 0, b ≠ 0)
4, -4, -3 | (-0.5, 1.5) | Два корня: отрицательный и положительный
0, 0, 5 | None | Вырожденный случай: 5 = 0 (нет решений)
0, 0, 0 | "infinite" | Бесконечное множество решений: 0 = 0
2, 0, -8 | (-2.0, 2.0) | Четные коэффициенты, симметричные корни
-1, 3, -2 | (1.0, 2.0) | Отрицательный старший коэффициент
0.5, -1, 0.5 | 1.0 | Дробные коэффициенты, один корень
